State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Surat,Surat,"Elephant Yam (Suran)",Other,FAQ,31/10/2025,3500,4500,4000
Gujarat,Surat,Surat,"Green Chilli",Other,FAQ,31/10/2025,2000,3000,2500
Gujarat,Surat,Surat,"Papaya (Raw)",Other,FAQ,31/10/2025,500,1300,900
Gujarat,Surat,Surat,"Pointed gourd (Parval)",Other,FAQ,31/10/2025,1500,4000,2750
Gujarat,Surat,Surat,Pumpkin,Other,FAQ,31/10/2025,800,2750,1750
Gujarat,Surat,Surat,"Sweet Potato",Other,FAQ,31/10/2025,2000,3000,2500
Gujarat,Surat,Surat,Tomato,Other,FAQ,31/10/2025,600,1600,1100
Gujarat,Surat,Surat,"Yam (Ratalu)",Other,FAQ,31/10/2025,5000,8500,6750
Haryana,Fatehabad,Jakhal,Ridgeguard(Tori),Other,FAQ,31/10/2025,3500,3500,3500
Haryana,Gurgaon,Gurgaon,Banana,Other,Large,31/10/2025,2000,3000,2500
Haryana,Gurgaon,Gurgaon,Pomegranate,Other,Large,31/10/2025,5000,7000,6000
Haryana,Gurgaon,Gurgaon,Potato,Other,FAQ,31/10/2025,1000,1500,1250
Haryana,Hissar,Uklana,"Bottle gourd","Bottle Gourd",FAQ,31/10/2025,2000,2000,2000
Haryana,Hissar,Uklana,Onion,Onion,FAQ,31/10/2025,1400,1400,1400
Haryana,Hissar,Uklana,Potato,Potato,FAQ,31/10/2025,1500,1500,1500
Haryana,Mewat,Punhana,Potato,Other,FAQ,31/10/2025,1200,1200,1200
Haryana,Mewat,Punhana,Tomato,Other,FAQ,31/10/2025,2000,2000,2000
Haryana,Palwal,Palwal,Onion,Onion,FAQ,31/10/2025,1200,1400,1300
Haryana,Panipat,Panipat,Brinjal,"Arkasheela Mattigulla",FAQ,31/10/2025,500,1500,1000
Haryana,Rewari,Kosli,Apple,Other,Medium,31/10/2025,5000,5000,5000
Haryana,Rewari,Kosli,Cauliflower,Other,FAQ,31/10/2025,3000,3000,3000
Haryana,Rewari,Kosli,Tomato,Other,FAQ,31/10/2025,2500,2500,2500
Haryana,Sonipat,Ganaur,"Bottle gourd","Bottle Gourd",FAQ,31/10/2025,1800,2000,1800
Haryana,Sonipat,Ganaur,Brinjal,Brinjal,FAQ,31/10/2025,2500,3000,2800
Haryana,Sonipat,Ganaur,Ginger(Green),"Green Ginger",FAQ,31/10/2025,6000,7000,6500
Haryana,Sonipat,Ganaur,Potato,Potato,FAQ,31/10/2025,1500,1800,1500
Haryana,"Yamuna Nagar",Mustafabad,Brinjal,Other,FAQ,31/10/2025,1800,2000,1800
Haryana,"Yamuna Nagar",Mustafabad,Cucumbar(Kheera),Other,FAQ,31/10/2025,1800,2100,2000
Haryana,"Yamuna Nagar",Mustafabad,Ginger(Green),Other,FAQ,31/10/2025,4000,4500,4200
Haryana,"Yamuna Nagar",Mustafabad,Raddish,Other,FAQ,31/10/2025,1500,1800,1600
"Himachal Pradesh",Kangra,Dharamshala,Banana,Other,Medium,31/10/2025,3800,4000,3900
"Himachal Pradesh",Kangra,Dharamshala,"Bitter gourd",Other,FAQ,31/10/2025,4000,4500,4250
"Himachal Pradesh",Kangra,Dharamshala,Brinjal,Other,FAQ,31/10/2025,3000,3500,3250
"Himachal Pradesh",Kangra,Dharamshala,"Green Chilli",Other,FAQ,31/10/2025,6000,7000,6500
"Himachal Pradesh",Kangra,Kangra,Banana,Other,Medium,31/10/2025,4000,4500,4200
"Himachal Pradesh",Kangra,Kangra,Capsicum,Other,FAQ,31/10/2025,7000,8000,7500
"Himachal Pradesh",Kangra,Kangra,"Green Chilli",Other,FAQ,31/10/2025,5500,6000,5700
"Himachal Pradesh",Kangra,Kangra,Kinnow,Other,Medium,31/10/2025,3000,4000,3500
"Himachal Pradesh",Kangra,Kangra,Papaya,Other,Medium,31/10/2025,3500,4000,3700
"Himachal Pradesh",Kangra,Kangra,Pomegranate,Other,Medium,31/10/2025,9000,15000,12000
"Himachal Pradesh",Kangra,Kangra,Potato,Other,FAQ,31/10/2025,1200,2500,1700
"Himachal Pradesh",Kangra,Kangra,Spinach,Other,FAQ,31/10/2025,3000,3500,3200
"Himachal Pradesh",Kangra,Kangra(Baijnath),Banana,"Banana - Ripe",Medium,31/10/2025,3500,3600,3600
"Himachal Pradesh",Kangra,Kangra(Baijnath),Brinjal,Brinjal,FAQ,31/10/2025,3000,3200,3100
"Himachal Pradesh",Kangra,Kangra(Baijnath),Cabbage,Cabbage,FAQ,31/10/2025,3400,3500,3500
"Himachal Pradesh",Kangra,Kangra(Baijnath),Carrot,Carrot,FAQ,31/10/2025,4000,6000,5000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Ginger(Green),"Green Ginger",FAQ,31/10/2025,7000,7500,7300
"Himachal Pradesh",Kangra,Kangra(Baijnath),Lemon,Lemon,FAQ,31/10/2025,5000,5000,5000
"Himachal Pradesh",Kangra,Kangra(Baijnath),"Mousambi(Sweet Lime)",Mousambi,Medium,31/10/2025,5000,5200,5100
"Himachal Pradesh",Kangra,Kangra(Baijnath),Onion,Onion,FAQ,31/10/2025,1800,2000,1900
"Himachal Pradesh",Kangra,Kangra(Baijnath),"Peas Wet",Other,FAQ,31/10/2025,18000,20000,19000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Pineapple,Other,Medium,31/10/2025,4000,4200,4100
"Himachal Pradesh",Kangra,Kangra(Baijnath),Pumpkin,Other,FAQ,31/10/2025,2400,3000,2600
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),"Bhindi(Ladies Finger)",Bhindi,FAQ,31/10/2025,3800,4500,4100
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Carrot,Carrot,FAQ,31/10/2025,6800,7500,7100
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Coriander(Leaves),Coriander,FAQ,31/10/2025,8500,9500,9000
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),"French Beans (Frasbean)","French Beans (Frasbean)",FAQ,31/10/2025,8500,9000,8800
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Ginger(Green),"Green Ginger",FAQ,31/10/2025,7500,8500,8000
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),"Green Chilli","Green Chilly",FAQ,31/10/2025,7000,8000,7500
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Orange,Medium,Medium,31/10/2025,9500,10000,9800
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Raddish,Raddish,FAQ,31/10/2025,2000,2200,2100
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Cabbage,Cabbage,FAQ,31/10/2025,3000,4000,3500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Ginger(Green),"Green Ginger",FAQ,31/10/2025,6000,7000,6500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Potato,Other,FAQ,31/10/2025,1200,2000,1500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Pumpkin,Other,FAQ,31/10/2025,2000,2500,2200
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Spinach,Other,FAQ,31/10/2025,3000,3500,3200
"Himachal Pradesh",Kangra,Palampur,Beetroot,Beetroot,FAQ,31/10/2025,4800,5000,4900
"Himachal Pradesh",Kangra,Palampur,"Bitter gourd",Other,FAQ,31/10/2025,5000,6000,5600
"Himachal Pradesh",Kangra,Palampur,Coriander(Leaves),Coriander,FAQ,31/10/2025,8000,9000,8600
"Himachal Pradesh",Kangra,Palampur,"Indian Colza(Sarson)",Other,FAQ,31/10/2025,2800,3000,2900
"Himachal Pradesh",Kangra,Palampur,Mashrooms,Other,FAQ,31/10/2025,23000,25000,24000
"Himachal Pradesh",Kangra,Palampur,"Mousambi(Sweet Lime)",Other,Medium,31/10/2025,4500,5000,4800
"Himachal Pradesh",Kullu,"Kullu(Chauri Bihal)",Apple,Apple,Medium,31/10/2025,1000,5000,4000
"Himachal Pradesh",Mandi,Mandi(Takoli),Potato,Other,FAQ,31/10/2025,1000,1500,1300
"Himachal Pradesh",Solan,Solan(Nalagarh),Capsicum,Other,FAQ,31/10/2025,5000,7000,6000
"Himachal Pradesh",Solan,Solan(Nalagarh),Potato,Other,FAQ,31/10/2025,1000,1500,1300
"Himachal Pradesh",Solan,Solan(Nalagarh),Pumpkin,Other,FAQ,31/10/2025,1000,2000,1500
"Jammu and Kashmir",Kathua,Kathua,Apple,Delicious,Medium,31/10/2025,6000,8000,7000
"Jammu and Kashmir",Kathua,Kathua,Capsicum,Other,FAQ,31/10/2025,5500,6000,5750
"Jammu and Kashmir",Kathua,Kathua,Cauliflower,Other,FAQ,31/10/2025,3000,3500,3250
"Jammu and Kashmir",Kathua,Kathua,Kinnow,Other,Medium,31/10/2025,2500,3000,2750
"Jammu and Kashmir",Kathua,Kathua,"Knool Khol",Other,FAQ,31/10/2025,3000,3500,3250
"Jammu and Kashmir",Kathua,Kathua,Lemon,Other,FAQ,31/10/2025,4000,4500,4250
"Jammu and Kashmir",Kathua,Kathua,Orange,Nagpuri,Medium,31/10/2025,7000,8000,7500
"Jammu and Kashmir",Kathua,Kathua,Spinach,Spinach,FAQ,31/10/2025,2000,2500,2250
"Jammu and Kashmir",Kathua,Kathua,Tomato,Other,FAQ,31/10/2025,2000,2200,2100
Karnataka,Bangalore,Ramanagara,"Bottle gourd","Bottle Gourd",Local,31/10/2025,1800,2200,2000
Karnataka,Bangalore,Ramanagara,Brinjal,Brinjal,Local,31/10/2025,4000,6500,6000
Karnataka,Bangalore,Ramanagara,Cabbage,Cabbage,Local,31/10/2025,1600,2000,1800
Karnataka,Bangalore,Ramanagara,Thondekai,Thondekai,Local,31/10/2025,3500,4400,4000
Karnataka,Bangalore,Ramanagara,Tomato,Tomato,Local,31/10/2025,1200,2000,1600
Karnataka,Chamrajnagar,"Chamaraj Nagar",Gur(Jaggery),Achhu,Local,31/10/2025,4700,4700,4700
Karnataka,Dharwad,Kalagategi,Maize,Local,Local,31/10/2025,1700,1800,1774
Karnataka,Kolar,Chintamani,"Bhindi(Ladies Finger)",Bhindi,Local,31/10/2025,1500,2500,2000
Karnataka,Kolar,Chintamani,Ridgeguard(Tori),Ridgeguard(Tori),Local,31/10/2025,1500,3000,2000
Karnataka,Shimoga,Shimoga,Beetroot,Beetroot,Local,31/10/2025,2500,3000,2750
Karnataka,Shimoga,Shimoga,Cauliflower,Cauliflower,Local,31/10/2025,2000,2500,2250
Karnataka,Shimoga,Shimoga,Garlic,Garlic,Local,31/10/2025,5000,12000,8500
Karnataka,Shimoga,Shimoga,Tomato,Tomato,Local,31/10/2025,800,1600,1200
Kerala,Alappuzha,Harippad,Amaranthus,Other,FAQ,31/10/2025,5000,5500,5000
Kerala,Alappuzha,Harippad,Banana,"Nendra Bale",Medium,31/10/2025,4500,5000,4500
Kerala,Alappuzha,Harippad,Brinjal,Other,FAQ,31/10/2025,4000,4500,4000
Kerala,Alappuzha,Harippad,Onion,Other,FAQ,31/10/2025,5000,5500,5000
Kerala,Ernakulam,Perumbavoor,Arecanut(Betelnut/Supari),Supari,FAQ,31/10/2025,35500,36500,36000
Kerala,Ernakulam,Perumbavoor,Cabbage,Cabbage,FAQ,31/10/2025,2800,3800,3200
Kerala,Ernakulam,Perumbavoor,Carrot,Carrot,FAQ,31/10/2025,7000,8000,7800
Kerala,Ernakulam,Perumbavoor,Cucumbar(Kheera),Cucumbar,FAQ,31/10/2025,2300,3300,2800
Kerala,Ernakulam,Perumbavoor,"Green Chilli","Green Chilly",FAQ,31/10/2025,5500,6500,6000
Kerala,Ernakulam,Perumbavoor,Snakeguard,Snakeguard,FAQ,31/10/2025,3400,4400,3800
Kerala,Kannur,Taliparamba,Cucumbar(Kheera),Other,FAQ,31/10/2025,2900,3100,3000
Kerala,Kannur,Taliparamba,"Green Chilli","Green Chilly",FAQ,31/10/2025,4900,5100,5000
Kerala,Kannur,Thalasserry,"Coconut Oil",Other,FAQ,31/10/2025,37200,37600,37400
Kerala,Kannur,Thalasserry,Snakeguard,Other,FAQ,31/10/2025,3800,4500,4000
Kerala,Kannur,Thalasserry,Tomato,Other,FAQ,31/10/2025,2500,3000,2700
Kerala,Kozhikode(Calicut),Kallachi,Amaranthus,Amaranthus,FAQ,31/10/2025,3200,3600,3400
Kerala,Kozhikode(Calicut),Mukkom,"Bhindi(Ladies Finger)",Bhindi,FAQ,31/10/2025,2800,3200,3000
Kerala,Kozhikode(Calicut),Mukkom,"Bitter gourd","Bitter Gourd",FAQ,31/10/2025,4800,5200,5000
Kerala,Kozhikode(Calicut),Mukkom,Brinjal,Brinjal,FAQ,31/10/2025,3200,3500,3400
Kerala,Kozhikode(Calicut),Mukkom,Cowpea(Veg),"Cowpea (Veg)",FAQ,31/10/2025,4800,5300,5000
Kerala,Kozhikode(Calicut),Mukkom,"Green Chilli","Green Chilly",FAQ,31/10/2025,5600,6000,5800
Kerala,Kozhikode(Calicut),Mukkom,Onion,Onion,FAQ,31/10/2025,2300,2600,2500
Kerala,Kozhikode(Calicut),Mukkom,Snakeguard,Snakeguard,FAQ,31/10/2025,2200,2500,2400
Kerala,Kozhikode(Calicut),Mukkom,Tomato,Tomato,FAQ,31/10/2025,2600,2900,2800
Kerala,Kozhikode(Calicut),Palayam,"Banana - Green",Other,FAQ,31/10/2025,2700,2700,2700
Kerala,Kozhikode(Calicut),Palayam,"Bhindi(Ladies Finger)",Other,FAQ,31/10/2025,4300,4300,4300
Kerala,Kozhikode(Calicut),Palayam,"Cluster beans",Other,FAQ,31/10/2025,4500,4500,4500
Kerala,Kozhikode(Calicut),Palayam,Cucumbar(Kheera),Other,FAQ,31/10/2025,1300,1300,1300
Kerala,Kozhikode(Calicut),Palayam,Ginger(Green),Other,FAQ,31/10/2025,6500,6500,6500
Kerala,Kozhikode(Calicut),Palayam,"Green Chilli",Other,FAQ,31/10/2025,3000,3000,3000
Kerala,Kozhikode(Calicut),Palayam,Snakeguard,Other,FAQ,31/10/2025,2500,2500,2500
Kerala,Kozhikode(Calicut),Palayam,Tomato,Other,FAQ,31/10/2025,2250,2250,2250
Kerala,Kozhikode(Calicut),Quilandy,Beetroot,Other,FAQ,31/10/2025,3700,4100,3800
Kerala,Kozhikode(Calicut),Quilandy,"Bhindi(Ladies Finger)",Other,FAQ,31/10/2025,5000,5500,5200
Kerala,Kozhikode(Calicut),Quilandy,Carrot,Other,FAQ,31/10/2025,5800,6000,6000
Kerala,Kozhikode(Calicut),Quilandy,Cowpea(Veg),Other,FAQ,31/10/2025,6000,6500,6200
Kerala,Kozhikode(Calicut),Quilandy,Tomato,Other,FAQ,31/10/2025,2400,2500,2400
Kerala,Kozhikode(Calicut),Vengeri(Kozhikode),"Bitter gourd","Bitter Gourd",FAQ,31/10/2025,3000,3300,3300
Kerala,Malappuram,Thirurrangadi,Amaranthus,Other,FAQ,31/10/2025,5500,5500,5500
Kerala,Malappuram,Thirurrangadi,Banana,"Nendra Bale",Medium,31/10/2025,2300,2600,2500
Kerala,Palakad,"Elevancheri VFPCK",Cowpea(Veg),"Cowpea (Veg)",FAQ,31/10/2025,4800,5000,4900
Kerala,Palakad,Koduvayoor,Banana,"Nendra Bale",Medium,31/10/2025,4200,4600,4400
Kerala,Palakad,Koduvayoor,"Bhindi(Ladies Finger)",Other,FAQ,31/10/2025,3200,3600,3400
Kerala,Palakad,Koduvayoor,"Cluster beans",Other,FAQ,31/10/2025,3500,3900,3700
Kerala,Palakad,Koduvayoor,Coconut,Big,FAQ,31/10/2025,7400,7800,7600
Kerala,Palakad,Koduvayoor,Pineapple,Other,Medium,31/10/2025,3600,4000,3800
Kerala,Palakad,"Vaniyamkulam  VFPCK",Banana,Poovan,Medium,31/10/2025,2100,2300,2200
Kerala,Thiruvananthapuram,Neyyatinkara,Cucumbar(Kheera),Cucumbar,FAQ,31/10/2025,5500,6000,5800
Kerala,Thiruvananthapuram,Neyyatinkara,"Duster Beans",Other,FAQ,31/10/2025,5400,6000,5700
Kerala,Thiruvananthapuram,Neyyatinkara,Snakeguard,Other,FAQ,31/10/2025,3500,4000,3700
Kerala,Thiruvananthapuram,Parassala,Beans,"Beans (Whole)",FAQ,31/10/2025,8800,9000,8800
Kerala,Thiruvananthapuram,Parassala,Cabbage,Cabbage,FAQ,31/10/2025,5000,5500,5000
Kerala,Thiruvananthapuram,Parassala,Carrot,Carrot,FAQ,31/10/2025,4000,4500,4000
Kerala,Thiruvananthapuram,Parassala,Snakeguard,Snakeguard,FAQ,31/10/2025,4500,5000,4500
Kerala,Thiruvananthapuram,Vamanapuram,Brinjal,Other,FAQ,31/10/2025,3500,4000,3500
"Madhya Pradesh",Ashoknagar,Ashoknagar,Maize,Local,FAQ,31/10/2025,1150,1160,1160
"Madhya Pradesh",Badwani,Sendhwa(F&V),Brinjal,Round,FAQ,31/10/2025,900,1200,1000
"Madhya Pradesh",Badwani,Sendhwa(F&V),Coriander(Leaves),Local,FAQ,31/10/2025,800,1100,1000
"Madhya Pradesh",Badwani,Sendhwa(F&V),"Green Chilli","Green Chilly",FAQ,31/10/2025,900,1500,1200
"Madhya Pradesh",Chhatarpur,Bijawar,Soyabean,Soyabeen,FAQ,31/10/2025,3800,3800,3800
"Madhya Pradesh",Katni,Katni,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,31/10/2025,7150,7150,7150
"Madhya Pradesh",Katni,Katni,Wheat,"Wheat Mix",FAQ,31/10/2025,2455,2455,2455
"Madhya Pradesh",Khandwa,Khargone(F&V),"Bhindi(Ladies Finger)",Bhindi,FAQ,31/10/2025,1200,1800,1500
"Madhya Pradesh",Khandwa,Mundi,Wheat,Wheat,FAQ,31/10/2025,2450,2450,2450
"Madhya Pradesh",Khargone,Segaon,Maize,Local,FAQ,31/10/2025,1500,1575,1575
"Madhya Pradesh",Mandla,Mandla,Wheat,Local,Non-FAQ,31/10/2025,2350,2350,2350
"Madhya Pradesh",Mandla,Nainpur,Maize,Local,Non-FAQ,31/10/2025,1750,1750,1750
"Madhya Pradesh",Raisen,Raisen,Paddy(Dhan)(Common),"Puspa (MR 301)",FAQ,31/10/2025,2225,2225,2225
"Madhya Pradesh",Rajgarh,Khilchipur,Maize,Local,Non-FAQ,31/10/2025,1790,1800,1790
"Madhya Pradesh",Ratlam,Taal,Soyabean,Soyabeen,FAQ,31/10/2025,3710,3900,3900
"Madhya Pradesh",Satna,Ramnagar,Wheat,"Mill Quality",Non-FAQ,31/10/2025,2420,2440,2425
"Madhya Pradesh",Sehore,Nasrullaganj,Maize,Local,Non-FAQ,31/10/2025,1070,1241,1241
"Madhya Pradesh",Seoni,Chhpara,Maize,Local,FAQ,31/10/2025,1800,1810,1810
"Madhya Pradesh",Seoni,Palari,Maize,Local,Non-FAQ,31/10/2025,1748,1850,1850
"Madhya Pradesh",Shajapur,Shajapur,Onion,Medium,FAQ,31/10/2025,187,607,607
"Madhya Pradesh",Tikamgarh,Jatara,Wheat,Wheat,Non-FAQ,31/10/2025,2447,2447,2447
Maharashtra,Ahmednagar,Rahata,Beetroot,Other,Local,31/10/2025,1000,1000,1000
Maharashtra,Ahmednagar,Rahata,"Bitter gourd",Other,Local,31/10/2025,1000,2000,1500
Maharashtra,Ahmednagar,Rahata,Coriander(Leaves),Other,Local,31/10/2025,5,10,7
Maharashtra,Ahmednagar,Rahata,"Sweet Potato",Other,Local,31/10/2025,2500,2500,2500
Maharashtra,Ahmednagar,Shrirampur,"Chilly Capsicum",Other,Local,31/10/2025,2500,3000,2750
Maharashtra,Ahmednagar,Shrirampur,Drumstick,Other,Local,31/10/2025,8000,10000,9000
Maharashtra,Ahmednagar,Shrirampur,Garlic,Other,Local,31/10/2025,3000,4000,3500
Maharashtra,Ahmednagar,Shrirampur,Guava,Other,Local,31/10/2025,800,1000,900
Maharashtra,Nagpur,Kalmeshwar,Cabbage,Other,Local,31/10/2025,1445,1800,1625
Maharashtra,Pune,Pune(Moshi),Cabbage,Other,Local,31/10/2025,800,1000,900
Maharashtra,Pune,Pune(Moshi),Drumstick,Other,Local,31/10/2025,9000,10000,9500
Maharashtra,Pune,Pune(Moshi),Ginger(Green),Other,Local,31/10/2025,3000,5000,4000
Maharashtra,Pune,Pune(Moshi),Guar,Other,Local,31/10/2025,7000,8000,7500
Maharashtra,Pune,Pune(Moshi),Methi(Leaves),Other,Local,31/10/2025,20,25,23
Maharashtra,Pune,Pune(Moshi),"Onion Green",Other,Local,31/10/2025,10,10,10
Maharashtra,Pune,Pune(Moshi),Potato,Local,Local,31/10/2025,1300,1600,1450
Maharashtra,Pune,Pune(Pimpri),Spinach,Other,Local,31/10/2025,7,8,8
Maharashtra,Satara,Patan,"Bhindi(Ladies Finger)",Other,Local,31/10/2025,2000,2500,2250
Maharashtra,Satara,Patan,Coriander(Leaves),Other,Local,31/10/2025,10,14,12
Meghalaya,"East Khasi Hills",Shillong,Arecanut(Betelnut/Supari),Other,FAQ,31/10/2025,16000,23000,19000
Nagaland,Kohima,Jalukie,"Bhindi(Ladies Finger)",Bhindi,FAQ,31/10/2025,3000,3500,3200
Nagaland,Kohima,Jalukie,Onion,Onion,FAQ,31/10/2025,3000,3500,3200
Nagaland,Kohima,Kohima,Ginger(Green),"Green Ginger",FAQ,31/10/2025,16000,16200,16100
Nagaland,Kohima,Kohima,Potato,Potato,FAQ,31/10/2025,5000,5200,5100
Odisha,Cuttack,Banki,Brinjal,Other,FAQ,31/10/2025,3800,4000,3900
Odisha,Cuttack,Banki,Cabbage,Other,FAQ,31/10/2025,5000,5500,5250
Odisha,Dhenkanal,Hindol,Beans,Other,FAQ,31/10/2025,7500,8000,7800
Odisha,Gajapati,Parlakhemundi,Cauliflower,Other,FAQ,31/10/2025,3300,3500,3400
Odisha,Jagatsinghpur,Jagatsinghpur,Brinjal,Round,FAQ,31/10/2025,4000,4040,4020
Odisha,Kalahandi,Bhawanipatna,Cauliflower,Local,FAQ,31/10/2025,2800,2800,2800
Odisha,Rayagada,Gunpur,Brinjal,Other,FAQ,31/10/2025,6000,7000,6500
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi)",Apple,Other,Small,31/10/2025,5000,11000,8000
Punjab,Gurdaspur,Kalanaur,Pumpkin,Other,FAQ,31/10/2025,200,200,200
Punjab,Hoshiarpur,"Garh Shankar",Apple,Other,Large,31/10/2025,2500,5000,3000
Punjab,Hoshiarpur,"Garh Shankar",Onion,Other,FAQ,31/10/2025,1000,1200,1100
Punjab,Hoshiarpur,"Garh Shankar",Spinach,Other,FAQ,31/10/2025,1000,1800,1500
Punjab,Hoshiarpur,"GarhShankar (Kotfatuhi)",Apple,American,Medium,31/10/2025,2500,4500,3000
Punjab,Hoshiarpur,Mukerian(Talwara),Apple,Other,Large,31/10/2025,5000,8000,6500
Punjab,Hoshiarpur,Mukerian(Talwara),Apple,Other,Medium,31/10/2025,3000,5000,4000
Punjab,Hoshiarpur,Mukerian(Talwara),Brinjal,Brinjal,FAQ,31/10/2025,3000,4000,3500
Punjab,Hoshiarpur,Mukerian(Talwara),Capsicum,Capsicum,FAQ,31/10/2025,8000,10000,9000
Punjab,Hoshiarpur,Mukerian(Talwara),Onion,Onion,FAQ,31/10/2025,1400,2000,1700
Punjab,Jalandhar,Bilga,"Bottle gourd","Bottle Gourd",FAQ,31/10/2025,1800,2000,1900
Punjab,Jalandhar,Bilga,"Green Chilli",Other,FAQ,31/10/2025,3800,4000,3900
Punjab,Jalandhar,Bilga,Ridgeguard(Tori),Other,FAQ,31/10/2025,1800,2000,1900
Punjab,Jalandhar,"Bilga (Talwan )","Bhindi(Ladies Finger)",Other,FAQ,31/10/2025,1800,2000,1900
Punjab,Jalandhar,"Bilga (Talwan )",Paddy(Dhan)(Common),Other,FAQ,31/10/2025,2389,2389,2389
Punjab,Jalandhar,Mehatpur,Cucumbar(Kheera),Other,FAQ,31/10/2025,3000,3000,3000
Punjab,Jalandhar,Mehatpur,Paddy(Dhan)(Common),Paddy,FAQ,31/10/2025,2389,2389,2389
Punjab,Moga,"Kot ise Khan",Brinjal,Other,FAQ,31/10/2025,800,1000,900
Punjab,Moga,"Kot ise Khan",Raddish,Other,FAQ,31/10/2025,1000,1200,1100
Punjab,Mohali,Lalru,"Bhindi(Ladies Finger)",Other,FAQ,31/10/2025,3000,4000,4000
Punjab,Mohali,Lalru,Onion,Other,Non-FAQ,31/10/2025,1500,2000,2000
Punjab,Nawanshahr,Banga,"Field Pea","Field Pea",FAQ,31/10/2025,9792,12547,12547
Punjab,Nawanshahr,Banga,Papaya,Papaya,Large,31/10/2025,2500,2500,2500
Punjab,Nawanshahr,Banga,Potato,Other,Non-FAQ,31/10/2025,900,1682,1610
Punjab,Tarntaran,Patti,Garlic,Other,FAQ,31/10/2025,4000,5000,4500
Punjab,Tarntaran,Patti,Methi(Leaves),Other,FAQ,31/10/2025,800,900,850
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Cauliflower,Other,FAQ,31/10/2025,3300,3700,3500
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Garlic,Garlic,FAQ,31/10/2025,7800,8200,8000
Rajasthan,Ganganagar,"Sriganganagar (F&V)","Green Chilli","Green Chilly",FAQ,31/10/2025,3800,4200,4000
